index,sr,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis,id
3105600,48000,4800,1062.2227,20.968601,5795.625,0.0646456,3036.4348,4.6614914,25.852556,b72fd1a1f
3110400,48000,4800,1433.0315,32.569763,7004.6875,0.078499615,3111.9226,3.9604688,20.521572,f0a6b80d6
3115200,48000,4800,1078.6846,64.35387,4425.3125,0.05368572,2616.4822,5.0946,31.772253,fab8939ff
3120000,48000,4800,1835.5481,22.055002,9153.125,0.11260126,3644.382,3.2056248,14.103046,09643ed91
3124800,48000,4800,1835.8771,74.20217,7913.125,0.09325717,3180.603,3.0930858,14.45644,7494573be
3129600,48000,4800,1169.7312,1442.7496,5796.5625,0.053585097,2350.6711,5.250611,52.985363,9c70742b3
3134400,48000,4800,195.81537,1134.1458,428.4375,0.0027586846,548.3199,19.721437,568.4696,f18a131e3
3139200,48000,4800,182.32753,358.09448,243.125,0.0032425795,600.3502,18.672321,475.31036,dc98d3d57
3144000,48000,4800,266.39578,393.92117,518.125,0.00909457,1055.5394,13.03166,221.94801,1baea33db
3148800,48000,4800,1172.2476,221.50891,5363.125,0.060267735,2567.6304,4.832887,32.482006,572f1fb75
3153600,48000,4800,1714.8596,118.95018,7806.25,0.08494318,3075.3455,3.4263825,17.115294,8b3cd7201
3158400,48000,4800,737.08295,255.90088,2368.4375,0.028037878,1879.604,7.012447,61.0947,98726aa4d
3163200,48000,4800,709.1725,35.28706,1793.4375,0.030794404,2092.1042,6.8342967,54.60266,7961e9ab9
3168000,48000,4800,937.9925,16.491543,3981.5625,0.047110613,2444.8835,5.370536,36.047005,9334a0aff
3172800,48000,4800,1022.1431,15.996862,4960.3125,0.052533157,2514.7651,5.074221,33.39123,8e80b2573
3177600,48000,4800,1009.635,8.931233,5165.9375,0.05940924,2749.3674,4.8617477,29.1999,457cff512
3182400,48000,4800,1942.1141,16.966732,9080.9375,0.116722085,3566.7783,3.209064,14.361791,5bfd01363
3187200,48000,4800,2619.1333,16.327581,10081.25,0.14160573,3654.7637,2.4405906,9.794666,1b1a14735
3192000,48000,4800,1559.8894,20.816742,7080.625,0.08485863,3006.4495,3.8575113,19.912975,3b242f2e0
3196800,48000,4800,1790.7996,41.23013,9008.75,0.10892217,3467.8376,3.3776698,16.13253,6ab9efb5e
3201600,48000,4800,572.1994,72.01974,1734.375,0.03025875,2040.3096,6.9673357,56.87586,779111b00
3206400,48000,4800,609.45593,512.84143,2926.875,0.025867514,1723.577,6.899177,67.004135,78c3df043
3211200,48000,4800,852.6422,205.06328,4335.0,0.042304747,2257.7483,5.5054765,41.733307,65d879073
3216000,48000,4800,363.09045,352.9903,1100.0,0.012649558,1231.4015,11.170797,159.57283,8d0ae77f2
3220800,48000,4800,364.23685,94.28312,1105.625,0.012016197,1248.1489,10.340535,136.86794,e4af4f9bf
3225600,48000,4800,1065.0017,286.2419,5315.625,0.051200066,2415.1309,4.797681,32.754738,c0b38ea75
3230400,48000,4800,878.93,531.49695,3556.875,0.036349118,2070.102,5.804266,45.160553,1cd980752
3235200,48000,4800,1191.631,125.802345,5928.75,0.05580104,2510.4875,4.305008,25.833046,c63f5b29f
3240000,48000,4800,1842.6527,28.709335,9026.25,0.10389612,3342.6738,3.1511354,14.081156,7b85e2511
3244800,48000,4800,2461.7917,9.515835,10390.9375,0.14066766,3750.02,2.7022254,10.882532,376f080e7
3249600,48000,4800,2570.3442,14.019584,12230.9375,0.16177535,4119.1577,2.4203053,9.108424,9574294de
3254400,48000,4800,2225.3293,11.180639,12159.687,0.14300641,4030.0562,2.8389611,11.40652,87487bdce
3259200,48000,4800,2285.411,15.042822,11420.9375,0.14443713,4026.6797,2.7180195,10.570066,e136d3716
3264000,48000,4800,927.095,347.45868,4030.625,0.03946683,2034.3042,6.584258,66.42481,e18d66a88
3268800,48000,4800,680.483,157.12773,2947.5,0.032317672,1937.8597,7.109437,68.138824,61dac7ca9
3273600,48000,4800,695.23376,264.5129,2983.4375,0.028433332,1675.1726,8.563885,108.43699,cd736bd77
3278400,48000,4800,270.1911,35.87207,752.1875,0.007997852,1058.6516,13.574679,219.88995,583de6155
3283200,48000,4800,388.7777,90.217026,918.125,0.016917797,1587.173,9.582012,109.971016,549fdc442
3288000,48000,4800,918.1445,621.65076,4765.0,0.044659495,2351.9966,5.0048876,33.502636,87ab2b871
3292800,48000,4800,1395.7382,189.40399,6440.3125,0.060827103,2606.224,3.9098032,22.510347,996b34e89
3297600,48000,4800,729.8567,184.43765,2602.8125,0.03451297,2091.8774,6.5979295,53.34472,c7b74ca85
3302400,48000,4800,908.6343,63.25447,4093.75,0.05118994,2596.4702,5.3949413,34.785004,94def7a5d
3307200,48000,4800,1628.923,6.536583,9930.0,0.10661513,3726.4412,3.4859602,15.445538,5a8fede1e
3312000,48000,4800,1640.8308,12.376114,8754.375,0.09831892,3482.2092,3.657553,17.437035,0a1886367
3316800,48000,4800,2279.9146,9.839895,11649.375,0.1424943,3991.4475,2.7670422,10.746856,8e1121a8c
3321600,48000,4800,1068.68,208.78963,4510.9375,0.05223397,2416.6287,5.4189076,40.075172,74a55147d
3326400,48000,4800,693.3594,26.77432,2054.0625,0.03262634,2153.9207,6.6815825,52.139015,646c83069
3331200,48000,4800,914.3926,90.85086,3952.1875,0.046323877,2580.9482,5.300469,33.622314,bfe47b1b7
3336000,48000,4800,1448.8555,740.9522,5567.8125,0.050484322,2307.8293,4.1280766,29.894682,173a8366b
3340800,48000,4800,1327.5986,381.9354,6320.0,0.06555074,2727.4812,4.3437696,28.792799,c304bf6ca
3345600,48000,4800,634.6967,256.54355,2258.75,0.027788423,1917.7461,7.244332,63.856632,76beb34b8
3350400,48000,4800,641.6378,43.654106,2101.25,0.031497207,2041.0775,6.8439217,55.393196,633c1ccf8
3355200,48000,4800,620.5274,7.563159,1681.25,0.032242432,2204.0835,6.6971207,51.120594,735ddace1
3360000,48000,4800,699.4178,11.100431,2522.5,0.03741607,2250.0024,6.2845907,46.401115,413a22e70
3364800,48000,4800,951.4869,237.07071,4085.625,0.048646268,2357.6787,5.8480263,45.90027,cb0516524
3369600,48000,4800,414.60657,478.8672,1231.5625,0.012947383,1292.1426,10.545327,137.76582,16289fc9d
3374400,48000,4800,542.0358,782.4746,2139.0625,0.02221846,1615.72,7.7308245,78.98475,9a6fa69c9
